#,Source_ID,redshift,distance,F148W_AB,F148W_err0,F148W_err,F169M_AB,F169M_err0,F169M_err,F172M_AB,F172M_err0,F172M_err,N219M_AB,N219M_err0,N219M_err,N279N_AB,N279N_err0,N279N_err,IRAC1,IRAC1_err,IRAC2,IRAC2_err,u_prime,u_prime_err,g_prime,g_prime_err,r_prime,r_prime_err,i_prime,i_prime_err,z_prime,z_prime_err
,total_ann01,0,0.785,7.870099119,0.037197637,0.087048896,9.033494581,0.045900521,0.10132749,10.83895154,0.103516292,0.240226499,15.29370807,0.147362585,0.339521331,51.29001064,0.26537503,0.577486299,-999,-999,6668.231418,335.5821201,516.5895921,0.143555185,3126.863391,0.196413908,6874.921421,0.34217314,10715.0139,0.501484849,14589.73715,1.371178961
,total_ann02,0,0.785,4.145375398,0.019833523,0.045954133,4.794069517,0.026023192,0.054548298,6.003137583,0.058340595,0.133486664,9.042918864,0.08911939,0.201623457,31.14693129,0.170992006,0.355318729,-999,-999,3574.600391,179.0551331,304.4779226,0.120175309,1735.707904,0.146337659,3804.784852,0.254552343,5926.931117,0.372972135,7900.37871,1.009007425
,total_ann03,0,0.785,3.172647166,0.015300693,0.035223291,3.706156374,0.020873396,0.042535375,4.726873982,0.046462394,0.105337976,7.099041494,0.071094005,0.158785747,24.25177445,0.138503321,0.279281267,-999,-999,2730.698678,136.7497449,233.6793593,0.111200125,1309.952595,0.127129275,2884.309722,0.221632269,4499.016403,0.324952764,5997.690302,0.879148876
,total_ann04,0,0.785,2.753080447,0.013356846,0.030599845,3.249058099,0.018712553,0.037493966,4.195231095,0.041540299,0.093624687,6.303518011,0.063598363,0.141203709,21.18933252,0.123964787,0.245491445,-999,-999,2301.11783,115.2648058,200.1856173,0.108252293,1113.028981,0.117184729,2447.501112,0.204161334,3829.890893,0.299815891,5097.98097,0.81053078
,total_ann05,0,0.785,2.331664672,0.01137723,0.025944313,2.782895378,0.016472489,0.032338732,3.628392047,0.036238444,0.081112985,5.403846386,0.055206231,0.121360415,18.08864611,0.109044788,0.211212399,-999,-999,1901.904977,95.25414417,168.5316341,0.101639235,922.6441369,0.106692747,2024.585071,0.185686385,3160.011988,0.272336475,4203.40206,0.735988237
,total_ann06,0,0.785,2.215000633,0.010830214,0.024655959,2.652034609,0.015848184,0.030894881,3.50499705,0.035081343,0.078388152,5.284390441,0.054079147,0.118720121,17.27810898,0.105214161,0.202295142,-999,-999,1752.455942,87.80858281,157.1848611,0.102598395,854.9420286,0.102703706,1876.647674,0.178773614,2928.065197,0.262151181,3886.184029,0.707672124
,total_ann07,0,0.785,1.959018908,0.009652369,0.021839042,2.359073145,0.014449713,0.02766436,3.186706334,0.032145415,0.071381837,4.900905068,0.050784987,0.11039322,16.42416641,0.101872687,0.193270196,-999,-999,1521.373494,76.25570726,146.9060451,0.099265269,741.7789035,0.095665428,1626.651109,0.166440593,2536.909222,0.244013532,3418.30488,0.663706093
,total_ann08,0,0.785,1.8296439,0.009033351,0.020404929,2.217809837,0.01375148,0.026095426,3.004903399,0.030399455,0.067349125,4.45461403,0.046331764,0.100419454,14.29267131,0.090786661,0.169322955,-999,-999,1383.104776,69.28411142,125.7246179,0.096557946,676.000136,0.091325314,1483.453107,0.158945764,2315.701259,0.233132442,3068.525022,0.62883288
,total_ann09,0,0.785,1.681446155,0.008351301,0.018774194,2.044275777,0.012918551,0.024182541,2.786494025,0.028386392,0.06254284,4.029397905,0.042387539,0.091055601,13.10800851,0.084984201,0.156218767,-999,-999,1271.953442,63.76155221,114.1771744,0.094395207,614.5222008,0.087073614,1355.736989,0.151949673,2117.799813,0.222948164,2816.14899,0.60241839
,total_ann10,0,0.785,1.611508672,0.008017961,0.017999548,1.951977968,0.012460968,0.023158098,2.702529376,0.027586667,0.060683525,3.947833475,0.041594896,0.089242877,12.56364386,0.082330861,0.150209472,-999,-999,1193.797274,59.84007455,107.9925513,0.094661992,578.9621403,0.084516765,1276.119064,0.14742042,1993.458651,0.216304255,2639.116825,0.583176097
,total_sum,0,0.785,29.56948507,,0.12131408,34.79084529,,0.145001727,44.57821643,,0.354031804,65.76017374,,0.518099522,219.6332941,,0.892485699,-999,-999,24299.23822,460.1172225,2075.449375,0.342110459,11674.40242,0.379520389,25654.71012,0.660991085,40022.79844,0.969203944,53617.46894,2.628594298
